,Tên tiếng việt,Tên tiếng anh,Ngành tiếng việt,Mô tả,Ví dụ về nơi làm việc,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,O*NET-SOC Code,Group
0,Giáo viên trung học phổ thông,Upper Secondary Education Teachers,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,"Giáo viên trung học phổ thông dạy học sinh ở các trường trung học phổ thông hoặc tương đương, ví dụ như trung tâm giáo dục thường xuyên. Họ dạy một hoặc nhiều môn học với mục đích giáo dục, hướng nghiệp, hoặc dạy nghề.","• Dạy học tại các trường trung học phổ thông; các trung tâm giáo dục thường xuyên; • Quản lí trong các cơ sở giáo dục (ví dụ: hiệu trưởng, trưởng phòng); • Làm việc chuyên môn trong các cơ quan quản lý giáo dục; • Dạy học tại các trung tâm bồi dưỡng văn hóa",0,1,1,"[3.86, 4.01, 3.57,  3.1, 3.88, 1.09, 1.13, 1.01, 4.12, 3.51, 4.01, 1.78, 1.89, 
 2.78, 2.65, 3.64, 2.78, 1.19,  2.4, 1.66, 2.91, 1.69, 1.67, 4.09,  1.1, 2.63, 
 3.01, 3.29, 4.23, 3.02, 3.02, 1.66, 3.24, 1.28, 3.97]",,4
1,Chuyên viên quan hệ công chúng,Public Relations Officer,Báo chí – Thông tin – Truyền thông,"Chuyên viên quan hệ công chúng, còn được gọi là cán bộ truyền thông, là người giữ nhiệm vụ kết nối giữa tổ chức, doanh nghiệp với thế giới bên ngoài. Họ đảm bảo rằng các thông tin chính xác về tổ chức, doanh nghiệp, khách hàng, sản phẩm hoặc người sử dụng lao động được các đối tượng công chúng biết đến",• Bộ phận truyền thông của doanh nghiệp và các tổ chức chính phủ. Ví dụ như hầu hết các doanh nghiệp lớn hiện nay đều có bộ phận quan hệ cộng đồng doanh nghiệp. • Các doanh nghiệp dịch vụ quan hệ công chúng. Các doanh nghiệp này được các tổ chức thuê triển khai thực hiện các sự kiện đặc biệt như ra mắt sản,2,2,1,"[3.38, 4.12, 3.38, 3.88, 3.88,  1.0,  1.0,  1.0,  3.0,  3.5, 2.88, 1.88, 1.75, 
 2.62,  2.0,  3.0, 3.25,  1.0, 2.75, 1.62, 3.75, 1.38, 1.38,  4.0,  1.0,  1.5, 
 3.12,  4.0, 4.12, 3.12, 3.25, 1.75, 3.88,  1.0,  4.0]",27-3031.00,21
2,Luật sư,Lawyer,Pháp luật,"Luật sư là người bào chữa hoặc người bảo vệ quyền lợi cho thân chủ tại tòa án, trong các vụ án, các vụ việc và yêu cầu khác theo qui định của pháp luật. Các vụ án, vụ việc và yêu cầu có thể liên quan đến những lĩnh vực khác nhau như hình sự, dân sự, hành chính, hôn nhân và gia đình, kinh doanh, thương mại, lao động, sở hữu trí tuệ...","• Các công ty luật, văn phòng luật sư • Các cơ quan Nhà nước • Các doanh nghiệp lớn • Các tổ chức tình nguyện",2,1,2,"[3.88, 4.62, 4.12, 3.38, 4.25,  1.0,  1.0,  1.0, 3.12, 4.12,  3.0, 2.25,  2.0, 
 2.88, 2.12, 3.62,  4.0, 1.38, 2.62, 1.62,  4.0,  1.5, 1.12, 4.38,  1.0, 1.62, 
 3.12, 3.75, 4.62,  3.5,  3.0, 1.88, 3.88,  1.0,  4.0]",23-1011.00,19
3,Chuyên viên lưu trữ văn thư và quản lí bảo tàng,Archivist,Báo chí – Thông tin – Truyền thông,"Một hệ thống lưu trữ bảo tàng là  tập hợp các ghi chép theo lịch sử,  bao gồm chữ cái, giấy tờ, hình  ảnh, nhật kí hay bất kì loại hiện  vật nào khác. Hệ thống này cũng  đánh dấu vị trí lưu trữ những hồ  sơ đó. Chuyên viên lưu trữ văn  thư và quản lí bảo tàng tiến hành  nghiên cứu, thu thập, đánh giá và  bảo vệ, bảo tồn các nội dung tài  liệu, hiện vật có giá trị lịch sử, văn  hóa và nghệ thuật, đồng thời tổ  chức trưng bày tại bảo tàng và  triển lãm nghệ thuật","• Cục, chi cục văn thư lưu trữ Nhà nước • Các đơn vị lưu trữ của các cơ quan trung ương, chính quyền địa phương, các doanh nghiệp công nghiệp và thương mại, các trường ĐH, bệnh viện, tổ chức từ thiện, các tổ chức tôn giáo, xã hội và thư viện lịch sử. • Bảo tàng, phòng trưng bày triển lãm",2,0,0,"[3.25, 3.88, 3.25,  3.0, 3.38,  1.0,  1.0,  1.0,  3.0, 3.25, 2.88,  2.0, 2.25, 
 2.88,  2.0,  3.0, 2.75,  1.0, 2.12,  2.0, 2.75, 1.75,  2.0,  4.0,  1.0,  2.0, 
 3.12, 2.75, 3.25, 2.88,  2.5, 1.88, 3.12, 1.62,  4.0]",25-4011.00,15
4,Thủ thư và nhân viên thư viện,Librarian and Library Clerk,Báo chí – Thông tin – Truyền thông,"Thủ thư và nhân viên thư viện là  những người thu thập và lưu trữ  các tài liệu; ghi lại hoặc cho mượn  và thu lại sách báo, tài liệu; lấy và  cung cấp thông tin theo yêu cầu.  Họ còn được gọi bằng một thuật  ngữ khác rộng hơn là người quản  lí tài liệu","• Thư viện các trường ĐH, CĐ • Thư viện công cộng hoặc tư nhân • Các cơ quan nghiên cứu và phát triển • Các doanh nghiệp • Thư viện số (sử dụng mạng Internet)",2,0,0,"[3.25, 3.88,  3.0, 2.88, 3.62, 1.12, 1.12, 1.12, 3.12, 3.12, 2.88, 2.25, 2.75, 
 2.62,  2.0, 3.38,  2.5, 1.12, 1.88, 1.75, 2.62,  2.0, 1.38, 3.88,  1.0, 1.12, 
 3.38, 3.25, 3.88, 2.25, 2.38, 1.62, 3.12, 1.25, 3.62]",25-4021.00,15
5,Biên tập viên nhà xuất bản,Editor/ Publisher,Báo chí – Thông tin – Truyền thông,"Biên tập viên làm việc với các tác  giả, giúp họ trình bày tác phẩm  của họ một cách lôi cuốn, chỉnh  sửa và hoàn thiện bản thảo. Ngày  nay, với sự phát triển của  internet, ngành xuất bản cũng  được mở rộng. Các biên tập viên  cũng tham gia xây dựng nội dung  trên mạng và kiểm tra xem các  nội dung này có sử dụng ngôn  ngữ chính xác và trình bày một  cách hấp dẫn hay không",• Các nhà xuất bản • Các phòng ban phụ trách công việc xuất bản của các trường ĐH • Báo • Tạp chí • Các doanh nghiệp kinh doanh mạng thông tin internet,2,0,2,"[3.12, 3.88, 3.12,  3.0, 3.88,  1.0,  1.0,  1.0,  3.0, 3.12, 2.88,  1.5, 1.38, 
  3.0, 2.12,  3.0,  3.0, 1.25,  2.0, 1.88,  3.0, 1.62, 3.25, 4.88,  1.0,  1.0, 
 2.62, 3.12, 3.75, 3.12,  2.5, 1.62, 3.38,  1.0, 4.25]",27-3041.00,16
6,Nhà nghiên cứu khoa học xã hội,Social Scientist,Khoa học xã hội và hành vi,"Khoa học xã hội quan tâm tới  hành vi, bản chất và cuộc sống  của con người như một chủ thể  xã hội. Các nhà nghiên cứu khoa  học xã hội nghiên cứu xã hội loài  người và những mối quan hệ  giữa người và người trong xã hội.  Có nhiều ngành khoa học xã hội  như nhân chủng học, kinh tế học,  lịch sử, khoa học chính trị, xã hội  học, tâm lí học, tội phạm học, luật  học, nghệ thuật học và các khoa  học tương tự. Nói rộng ra, những  bộ môn liên quan đến nhân học  và nghệ thuật đều là các môn  khoa học xã hội","• Giáo viên tại các trường ĐH, CĐ, TC • Các tổ chức chính phủ • Các tổ chức tình nguyện • Các tổ chức phi chính phủ • Các tổ chức quốc tế • Các tập đoàn kinh tế",2,1,1,"[3.12, 3.75, 3.38, 2.88, 3.75,  1.0, 1.38,  1.0, 2.62, 3.12,  3.0, 1.75,  2.0, 
 2.38, 3.12, 2.88, 2.38, 1.62,  2.0, 2.12,  2.5, 2.62,  2.5,  4.0,  1.0, 3.25, 
 2.38, 2.88, 3.38,  3.0, 2.88, 1.75, 2.88, 1.75, 3.75]",19-4061.00,18
7,Nhà sử học,Historian,Khoa học Nhân văn,"Nhà sử học cho chúng ta biết về  quá khứ nhờ tiến hành nghiên  cứu và mô tả hoạt động của con  người trong quá khứ, như lịch  sử của cộng đồng, quốc gia,  doanh nghiệp, các thời kì và sự  kiện cụ thể, các cá nhân và ý  tưởng... Nhờ có các tư liệu lịch  sử mà chúng ta có thể hiểu hiện  tại và hoạch định tương lai",• Dạy học trong các cơ sở giáo dục • Các tổ chức tình nguyện • Các cơ quan chính phủ • Các tổ chức quốc tế • Các nhóm nghiên cứu hành vi của con người • Các viện bảo tàng • Cơ quan lưu trữ,1,2,2,"[3.75,  4.0, 3.12,  3.0, 4.12,  1.0,  1.0,  1.0, 3.25, 3.12,  3.0,  1.5, 1.62, 
 2.88, 1.75,  3.0, 2.25,  1.0,  2.0,  1.5, 2.75, 1.25, 1.38, 4.75,  1.0, 2.62, 
 2.38, 3.38, 3.88, 2.25, 2.25, 1.38, 2.88,  1.0,  4.0]",19-3093.00,14
8,Nhà báo,Journalist,Báo chí – Thông tin – Truyền thông,"Nhà báo là những người viết,  biên tập, sản xuất các ấn phẩm  báo chí (truyền hình, phát thanh,  báo viết, báo mạng)","Ví dụ về nơi làm việc: • Tòa soạn các loại Báo viết • Các loại Tạp chí • Văn phòng thông tin báo chí • Báo mạng, các đài truyền hình và đài phát thanh",0,0,1,"[ 3.5, 4.12, 3.25, 3.19, 3.81,  1.0, 1.06,  1.0, 2.31, 3.06, 2.37, 1.69, 1.69, 
 2.69, 1.81, 3.44, 2.94, 1.81, 2.06, 1.81,  3.0, 1.63,  1.5, 4.12,  1.0, 1.06, 
 2.69, 3.75, 4.12, 2.44, 2.25,  1.5, 3.44, 1.06, 4.12]",,1
9,Nhà ngôn ngữ học,Language Specialist,Khoa học Nhân văn,"Nhà ngôn ngữ học nghiên cứu  các thành phần cơ bản của một  ngôn ngữ nào đó, chẳng hạn như  ngữ âm, ngữ nghĩa và chữ viết. Ở  góc độ khác, nghề này liên quan  tới việc học và sử dụng thành  thạo một ngôn ngữ cụ thể. Để trở  thành một nhà ngôn ngữ học cần  phải tìm hiểu về các thành phần  cơ bản của ngôn ngữ. Ngoài ra,  học một ngôn ngữ cụ thể thì bạn  có thể trở thành một người biên  dịch, phiên dịch hoặc giáo viên  ngôn ngữ","• Phòng ban, khoa, bộ môn của trường ĐH • Giáo viên ngoại ngữ • Các tổ chức cần người biên dịch, phiên dịch • Trung tâm điều trị trẻ em bị rối loạn khả năng học ngôn ngữ • Nhà xuất bản",2,1,2,"[3.12,  4.0,  3.0,  3.0, 3.62,  1.0,  1.0,  1.0,  3.0, 3.12,  3.0, 1.25, 1.25, 
 2.75,  2.0, 3.62, 2.38,  1.0, 1.62,  2.0, 2.88, 1.12,  2.0, 3.88,  1.0, 1.12, 
 3.12, 3.12, 4.12, 2.12, 2.12, 1.88,  3.0, 1.25, 3.75]",,19
