,Tên tiếng việt,Ngành tiếng việt,Tên tiếng anh,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,Group
0,Biên tập viên nhà xuất bản,Báo chí – Thông tin – Truyền thông,Editor/ Publisher,2,0,2,"[3.12, 3.88, 3.12,  3.0, 3.88,  1.0,  1.0,  1.0,  3.0, 3.12, 2.88,  1.5, 1.38,
  3.0, 2.12,  3.0,  3.0, 1.25,  2.0, 1.88,  3.0, 1.62, 3.25, 4.88,  1.0,  1.0,
 2.62, 3.12, 3.75, 3.12,  2.5, 1.62, 3.38,  1.0, 4.25]",18
1,Bác sĩ  trị liệu ngôn ngữ,,Speech Therapist,2,2,2,"[3.39,  4.0, 3.31, 3.27, 3.65, 1.42, 1.61, 1.01,  3.3, 3.42,  3.2, 1.71, 1.83,
  2.7, 2.17, 3.62, 2.83, 1.81, 2.25, 2.24,  3.0,  1.5, 2.11, 3.69, 1.29, 2.29,
  3.7, 3.84, 3.81, 2.83, 2.82, 1.87, 3.17, 1.82, 3.48]",24
2,Bác sĩ Thú y,Thú y,Veterinarian,0,1,2,"[ 4.0, 4.12, 3.88, 3.12, 3.88, 1.12, 1.75,  1.0,  3.0, 3.88,  3.0,  2.0,  2.0,
  3.0, 3.12, 3.25, 2.88, 1.88, 2.75, 2.25, 2.88, 1.25, 2.12, 4.12,  1.0, 3.88,
 3.38, 3.25, 3.88, 2.88,  3.0, 1.88, 3.25, 1.88,  3.5]",5
3,Bác sĩ thính học,Chăm sóc sức khỏe,Audiologist ,1,0,2,"[ 4.0, 4.12, 3.62, 3.38,  4.0, 2.12, 2.12, 1.25, 3.12, 3.75, 3.38, 1.88, 1.88,
 2.88, 2.88, 3.75, 2.88, 2.12, 2.88,  3.0, 3.12, 1.75,  3.0, 4.12, 2.12,  3.0,
 3.62,  4.0,  4.0, 3.12, 3.12, 1.88, 3.25, 2.12,  4.0]",9
4,Chuyên gia bảo vệ môi trường,Môi trường và bảo vệ môi trường,Environmental Specialist,2,1,1,"[3.62,  4.0, 3.62,  3.5,  4.0, 1.12, 1.12,  1.0, 3.12, 3.38,  3.0, 2.12, 2.12,
 2.88, 3.38,  3.5, 2.75, 2.12, 2.88,  2.5,  3.0,  2.0, 2.75,  4.0,  1.0, 3.88,
  3.0, 3.12, 3.88,  3.0, 2.88,  2.0, 3.12, 2.12, 3.88]",20
5,Chuyên gia công nghệ thực phẩm và đồ uống,"Sản xuất, chế biến",Food and Drink Technologist,1,0,0,"[3.75,  4.0, 3.88,  3.0, 3.88,  1.0, 1.62,  1.0,  3.0, 3.75,  3.0,  2.0,  2.0,
 2.75, 3.12, 3.88,  3.0, 2.12, 2.25, 2.88,  3.0, 1.62, 3.25,  4.0,  1.0, 3.38,
  3.0, 3.12, 3.88, 3.25, 3.25, 1.88,  3.0, 2.12,  4.0]",7
6,Chuyên gia dinh dưỡng,Chăm sóc sức khỏe,Dietitians ,1,1,2,"[3.62,  4.0, 3.88, 3.75,  4.0,  1.0,  1.0,  1.0, 3.75,  4.0, 3.75, 2.75, 2.75,
 2.88,  3.0, 3.88, 3.12,  1.0, 3.12, 1.88, 3.38, 1.75, 2.88,  4.0,  1.0, 3.25,
 3.88,  4.0,  4.0, 3.12, 3.25, 1.75, 3.25,  1.5, 3.88]",12
7,Chuyên gia dịch vụ pháp lí,Pháp luật,Legal Services Specialist,2,2,0,"[2.75, 3.75, 2.88,  3.0, 3.12,  1.0,  1.0,  1.0,  2.0, 2.75, 2.25, 1.25, 1.12,
  2.0,  2.0,  3.0, 2.38,  1.0, 1.12,  2.0, 2.75, 1.38, 2.12, 3.88,  1.0,  1.0,
 2.75,  3.0, 3.75,  2.0,  2.0,  1.0, 3.25,  1.0, 3.88]",22
8,Chuyên gia phát triển phần mềm,Máy tính và Công nghệ thông tin,Software Developer,2,2,1,"[ 3.5,  3.5, 3.62,  3.0, 3.75,  1.0,  2.0, 1.25, 2.75, 3.38, 2.88, 1.75, 1.75,
 2.38, 2.75,  3.0, 2.75, 1.62, 3.62, 2.25, 2.88, 4.12, 2.75, 3.62,  1.0,  2.0,
 2.88, 2.88, 3.25, 3.12,  3.0,  2.5,  3.0, 2.12, 3.12]",23
9,Chuyên gia phân tích tài chính,Kinh doanh và Quản lý,Financial Analyst,2,2,2,"[ 3.5, 3.75, 3.88, 3.12, 4.12,  1.0, 1.12,  1.0, 3.12, 3.62,  3.0, 2.75, 1.88,
 2.62, 4.25,  3.0, 2.62, 1.25, 1.88, 1.75, 3.25, 2.75, 1.88,  4.0,  1.0, 1.88,
  2.5,  3.0, 3.75, 3.25, 3.25, 1.75,  3.0, 1.12, 3.38]",24
