Field,Major,ID
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Nhóm Khoa học giáo dục,71401
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục học,7140101
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Quản lý giáo dục,7140114
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Kinh tế giáo dục,7140199
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Nhóm Đào tạo giáo viên sư phạm,71402
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục mầm non,7140201
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục tiểu học,7140202
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục đặc biệt,7140203
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục công dân,7140204
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục chính trị,7140205
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục thể chất,7140206
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Huấn luyện thể thao,7140207
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục Quốc phòng – An ninh,7140208
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Toán học,7140209
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tin học,7140210
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Vật lý,7140211
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Hóa học,7140212
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Sinh học,7140213
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Kỹ thuật công nghiệp,7140214
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Kỹ thuật nông nghiệp,7140215
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Ngữ văn,7140217
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Lịch sử,7140218
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Địa lý,7140219
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Âm nhạc,7140221
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Mỹ thuật,7140222
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Bana,7140223
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Êđê,7140224
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Jrai,7140225
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Khmer,7140226
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng H’mong,7140227
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Chăm,7140228
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng M’nông,7140229
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Xê đăng,7140230
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Anh,7140231
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Nga,7140232
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Pháp,7140233
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Trung Quốc,7140234
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Đức,7140235
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Nhật,7140236
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tiếng Hàn Quốc,7140237
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Nghệ thuật,7140245
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Công nghệ,7140246
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Khoa học tự nhiên,7140247
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Giáo dục pháp luật,7140248
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Lịch sử – Địa lý,7140249
Khoa học giáo dục và Đào tạo Giáo viên sư phạm,Sư phạm Tin học – Công nghệ,7140250
Năng khiếu nghệ thuật,Nhóm Năng khiếu Mỹ thuật,72101
Năng khiếu nghệ thuật,Lý luận lịch sử và Phê bình mỹ thuật,7210101
Năng khiếu nghệ thuật,Hội họa,7210103
Năng khiếu nghệ thuật,Đồ họa,7210104
Năng khiếu nghệ thuật,Điêu khắc,7210105
Năng khiếu nghệ thuật,Gốm,7210107
Năng khiếu nghệ thuật,Mỹ thuật đô thị,7210110
Năng khiếu nghệ thuật,Nhóm Năng khiếu Nghệ thuật Trình diễn,72102
Năng khiếu nghệ thuật,Âm nhạc học,7210201
Năng khiếu nghệ thuật,Sáng tác âm nhạc,7210203
Năng khiếu nghệ thuật,Chỉ huy âm nhạc,7210204
Năng khiếu nghệ thuật,Thanh nhạc,7210205
Năng khiếu nghệ thuật,Biểu diễn nhạc cụ phương tây,7210207
Năng khiếu nghệ thuật,Piano,7210208
Năng khiếu nghệ thuật,Nhạc Jazz,7210209
Năng khiếu nghệ thuật,Biểu diễn nhạc cụ truyền thống,7210210
Năng khiếu nghệ thuật,"Lý luận, lịch sử và phê bình sân khấu",7210221
Năng khiếu nghệ thuật,Biên kịch sân khấu,7220225
Năng khiếu nghệ thuật,Diễn viên sân khấu kịch hát,7210226
Năng khiếu nghệ thuật,Đạo diễn sân khấu,7210227
Năng khiếu nghệ thuật,"Lý luận, lịch sử và phê bình điện ảnh, truyền hình",7210231
Năng khiếu nghệ thuật,"Biên kịch điện ảnh, truyền hình",7210233
Năng khiếu nghệ thuật,"Diễn viên kịch, điện ảnh – truyền hình",7210234
Năng khiếu nghệ thuật,"Đạo diễn điện ảnh, truyền hình",7210235
Năng khiếu nghệ thuật,Quay phim,7210236
Năng khiếu nghệ thuật,"Lý luận, lịch sử và phê bình múa",7210241
Năng khiếu nghệ thuật,Diễn viên múa,7210242
Năng khiếu nghệ thuật,Biên đạo múa,7210243
Năng khiếu nghệ thuật,Huấn luyện múa,7210244
Năng khiếu nghệ thuật,Nhóm Năng khiếu Nghệ thuật Nghe nhìn,72103
Năng khiếu nghệ thuật,Nhiếp ảnh,7210301
Năng khiếu nghệ thuật,"Công nghệ điện ảnh, truyền hình",7210302
Năng khiếu nghệ thuật,"Thiết kế âm thanh, ánh sáng",7210303
Năng khiếu nghệ thuật,Nhóm Năng khiếu Nghệ thuật Mỹ thuật ứng dụng,72104
Năng khiếu nghệ thuật,Thiết kế công nghiệp,7210402
Năng khiếu nghệ thuật,Thiết kế đồ họa,7210403
Năng khiếu nghệ thuật,Thiết kế thời trang,7210404
Năng khiếu nghệ thuật,"Thiết kế mỹ thuật sân khấu, điện ảnh",7210406
Năng khiếu nghệ thuật,Nghệ thuật số (Digital Art),7210408
Khoa học Nhân văn,"Nhóm Ngôn ngữ, Văn học và Văn hóa Việt Nam",72201
Khoa học Nhân văn,Tiếng Việt và Văn hóa Việt Nam,7220101
Khoa học Nhân văn,Hán Nôm,7220104
Khoa học Nhân văn,Ngôn ngữ Jrai,7220105
Khoa học Nhân văn,Ngôn ngữ Khmer,7220106
Khoa học Nhân văn,Ngôn ngữ H’mong,7220107
Khoa học Nhân văn,Ngôn ngữ Chăm,7220108
Khoa học Nhân văn,Sáng tác văn học,7220110
Khoa học Nhân văn,Văn hóa các dân tộc thiểu số Việt Nam,7220112
Khoa học Nhân văn,"Nhóm Ngôn ngữ, Văn học và Văn hóa nước ngoài",72202
Khoa học Nhân văn,Ngôn ngữ Anh,7220201
Khoa học Nhân văn,Ngôn ngữ Nga,7220202
Khoa học Nhân văn,Ngôn ngữ Pháp,7220203
